metric,mean,std,min,median,max
TBR_II,0.7875610234016615,0.6872725200419524,0.0603346757192911,0.5012831775254442,1.9369397605466057
TBR_I,5.118202812129967,3.2161172808017255,1.1063780294549526,4.2982080801013485,10.544516182954094
TIR,85.19118439165723,8.284300102170484,72.74036562986365,85.14338389542768,97.9224517686056
TAR_I,9.690612796212791,6.882255235914908,0.9711702019394328,9.259681207622695,21.628841552649305
TAR_II,0.3831829101852132,0.5286723081704533,0.0,0.0619862172615047,1.4715788984645404
total_daily_insulin,0.0,0.0,0.0,0.0,0.0
average_insulin,,,,,
TBR_II_episode_mean,0.7875840427055225,0.6872886994446256,0.060334675719291,0.5012817052129092,1.936991349679792
TBR_I_episode_mean,5.118240346296361,3.216130290168671,1.1063780294549526,4.298286466764728,10.54457796606038
TIR_episode_mean,85.19110807498645,8.284325244364771,72.74031686392023,85.14318671353969,97.92245176860564
TAR_I_episode_mean,9.690651578717205,6.882269053540057,0.9711702019394328,9.259713817090201,21.628866188922053
TAR_II_episode_mean,0.3831921608665333,0.5286631993003273,0.0,0.06203465862556765,1.4715618067573375
total_daily_insulin_episode_mean,0.0,0.0,0.0,0.0,0.0
average_insulin_episode_mean,,,,,
critical_failure_rate,21.43333333333333,11.9371295430851,4.666666666666667,17.5,40.33333333333333
mean_reward,403.0141914176941,27.49910723109685,367.3552197265625,401.24156239191694,454.13809235890704
