number,value,state,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,user_attrs_best_mean_reward,user_attrs_failed_reason,duration,datetime_start,datetime_complete
0,-1000000000000.0,COMPLETE,120,0.06037028810144972,0.005,0.988100527520053,0.9938450120528797,0.0001630221066309673,0.9209187578495339,7,1440,"128,128,64",0.3856639342942747,,"FileNotFoundError(2, 'No such file or directory')",0 days 00:08:26.167719,2026-05-26 02:55:49.396484,2026-05-26 03:04:15.564203
1,73.26773834228516,COMPLETE,120,0.18882411933435655,0.0,0.8614518843040582,0.9963669524681744,9.784342372851558e-05,0.3955094152659131,12,1920,"128,128",0.3145797959057647,73.26773834228516,,0 days 00:25:47.281410,2026-05-26 03:04:15.574639,2026-05-26 03:30:02.856049
2,67.38890838623047,COMPLETE,80,0.10899196367631052,0.1,0.862868732357456,0.985794378876674,0.0001080298808462483,0.8636859698161454,6,1440,"64,64",0.21297329066526496,67.38890838623047,,0 days 00:25:23.278014,2026-05-26 03:30:02.863077,2026-05-26 03:55:26.141091
3,62.569252014160156,COMPLETE,160,0.057424479293208,0.005,0.8669464862960602,0.985869394436716,2.7460618238868877e-05,0.6396726838937861,4,480,"128,128",0.2179688221292432,62.569252014160156,,0 days 00:26:59.976214,2026-05-26 03:55:26.149649,2026-05-26 04:22:26.125863
4,15.541539192199707,COMPLETE,320,0.295030500991888,0.02,0.9464301577297348,0.9986880119018147,1.3328253199282326e-05,0.783322076379101,9,960,"128,128",0.4695268257523137,15.541539192199707,,0 days 00:29:40.571579,2026-05-26 04:22:26.166412,2026-05-26 04:52:06.737991
5,67.7367935180664,COMPLETE,120,0.19541163456557847,0.02,0.8805488842879376,0.9950226007548181,1.2702173419161889e-05,0.9132666678569119,12,960,"128,128",0.9915927829368494,67.7367935180664,,0 days 00:27:18.298493,2026-05-26 04:52:06.744664,2026-05-26 05:19:25.043157
6,63.53582000732422,COMPLETE,240,0.136679172705566,0.1,0.912995796773591,0.991073914906391,8.714524696082631e-05,0.8153524226477327,13,960,"256,256",0.2156734606571427,63.53582000732422,,0 days 00:25:17.669774,2026-05-26 05:19:25.051054,2026-05-26 05:44:42.720828
7,70.01419830322266,COMPLETE,160,0.14794015484196416,0.001,0.8955869752419546,0.9966545607522,0.0003752394173431402,0.5119686632949157,11,1440,"256,256",0.33526617151661214,70.01419830322266,,0 days 00:26:05.441608,2026-05-26 05:44:42.728914,2026-05-26 06:10:48.170522
8,57.6137580871582,COMPLETE,120,0.05571822159492178,0.005,0.9385909304311267,0.988937167713611,4.907238217012254e-05,0.8122772955460544,15,480,"256,128",0.5424491284391582,57.6137580871582,,0 days 00:25:53.373063,2026-05-26 06:10:48.179812,2026-05-26 06:36:41.552875
9,73.16886901855469,COMPLETE,60,0.23653388719749313,0.05,0.9124856012700393,0.9920435760240987,2.6569350400199005e-05,0.6892106099466446,9,960,"64,64",0.5797691566910979,73.16886901855469,,0 days 00:26:00.713980,2026-05-26 06:36:41.561559,2026-05-26 07:02:42.275539
10,40.87201690673828,PRUNED,240,0.2766828247037951,0.1,0.8537405259576181,0.9892935093971431,0.00041178068093393884,0.4565012792998193,13,1920,"128,128",0.5415624366963037,,,0 days 00:14:31.375665,2026-05-26 07:02:42.285891,2026-05-26 07:17:13.661556
11,64.75283813476562,COMPLETE,120,0.11993742538009361,0.05,0.8685716945903801,0.9921417757259168,0.00011506268337871477,0.635841102484746,13,1920,"128,128",0.2737227733783556,64.75283813476562,,0 days 00:25:41.661591,2026-05-26 07:17:13.680811,2026-05-26 07:42:55.342402
12,9.98249626159668,PRUNED,60,0.23856404356382568,0.05,0.8843186537675916,0.9870432969135366,1.8816515416347684e-05,0.7971137921638076,7,480,"64,64",0.6800256686135105,,,0 days 00:02:43.771622,2026-05-26 07:42:55.356933,2026-05-26 07:45:39.128555
13,10.929705619812012,PRUNED,120,0.20208538718503016,0.01,0.8708664436843198,0.9950782387238526,2.9460191732965102e-05,0.3229040388936158,9,1920,"128,128",0.400927988462249,,,0 days 00:02:44.783127,2026-05-26 07:45:39.138935,2026-05-26 07:48:23.922062
14,9.492383003234863,PRUNED,60,0.14622139525844471,0.0,0.9312681914693777,0.9958440111826288,1.91656772594796e-05,0.5038607434435404,10,960,"64,64",0.6982732127771568,,,0 days 00:02:44.182971,2026-05-26 07:48:23.930380,2026-05-26 07:51:08.113351
